UF,Estado,Casos_entre_nascidos,Espinha bífida,Outras malformações congênitas do sistema nervoso,Malformações congênitas do aparelho circulatório,Fenda labial e fenda palatina,Ausência atresia e estenose do intestino delgado,Outras malformações congênitas do aparelho digestivo,Testiculo não-descido,Outras malformações do aparelho geniturinário,Deformidades congênitas do quadril,Deformidades congênitas dos pés,Outras malformações e deformidades congênitas do aparelho osteomuscular,Outras malformações congênitas,Anomalias cromossômicas não classificadas em outra parte
AC,Acre,0.007925791111372043,0.03522573827276464,0.046967651030352844,0.07045147654552927,0.05283860740914695,0.0,0.05870956378794106,0.0,0.08219338930311748,0.02935478189397053,0.111548171197088,0.2113544296365878,0.09393530206070569,0.08219338930311748
AL,Alagoas,0.007337568349951753,0.022113219684786106,0.10453522032807977,0.034174975876487615,0.05025731746542297,0.0020102926986169186,0.024123512383403024,0.008041170794467674,0.08041170794467674,0.004020585397233837,0.13468961080733355,0.25128658732711484,0.12262785461563204,0.03618526857510453
AM,Amazonas,0.004940787946025439,0.007740137774452385,0.05934105627080162,0.0167702985113135,0.07611135478211511,0.0,0.02967052813540081,0.0012900229624087309,0.02967052813540081,0.0,0.08643153848138496,0.14061250290255167,0.09030160736861116,0.011610206661678578
AP,Amapá,0.007025900565644537,0.005954153021732658,0.1012206013694552,0.011908306043465317,0.041679071152128606,0.0,0.19648704971717773,0.005954153021732658,0.011908306043465317,0.011908306043465317,0.10717475439118786,0.1607621315867818,0.06549568323905924,0.05358737719559393
BA,Bahia,0.006475947539881456,0.014830414213468982,0.05190644974714144,0.02273996846065244,0.04004211837636625,0.0009886942808979321,0.02273996846065244,0.008403901387632423,0.06772555824150835,0.0019773885617958642,0.0830503195954263,0.2723852743873803,0.1077676766178746,0.02125692703930554
CE,Ceará,0.009080741163680165,0.032068078183538906,0.1040257170344067,0.07430408359600478,0.05240393264139285,0.0015642964967579956,0.04536459840598187,0.03285022643191791,0.09229349330872173,0.006257185987031982,0.1728547628917585,0.26984114569075424,0.15173676018552557,0.05005748789625586
DF,Distrito Federal,0.005388100694505187,0.012245683396602697,0.038486433532179905,0.029739516820320836,0.03498766684743628,0.0,0.04723335024403898,0.013995066738974512,0.06122841698301349,0.006997533369487256,0.05423088361352623,0.18543463429141227,0.08571978377621889,0.03323828350506446
ES,Espírito Santo,0.007529767802136437,0.016212418712733954,0.09907589213337416,0.09907589213337416,0.046835876281231426,0.0036027597139408787,0.041431736710320105,0.02521931799758615,0.08466485327761065,0.0,0.07745933384972889,0.24498766054797974,0.08646623313458109,0.0594455352800245
GO,Goiás,0.007184143402054618,0.010530503358060515,0.08073385907846395,0.031591510074181546,0.06084290829101631,0.0,0.04797229307560901,0.014040671144080688,0.07722369129244377,0.005850279643366953,0.11115531322397211,0.2503919687361056,0.12285587251070601,0.029251398216834763
MA,Maranhão,0.005019204303203116,0.017989979581373175,0.0782564111789733,0.03148246426740306,0.04317595099529562,0.0008994989790686587,0.038678456099952324,0.003597995916274635,0.05486943772318818,0.0,0.06836192240921807,0.1745028019393198,0.07375891628363002,0.01619098162323586
MG,Minas Gerais,0.00734955303658649,0.026879243080514852,0.07257395631739011,0.08409363192332504,0.06182225908518416,0.0015359567474579915,0.033791048444075815,0.008831751297883451,0.07065401038306761,0.0023039351211869875,0.09945319939790495,0.28108008478481245,0.10329309126654994,0.04377476730255276
MS,Mato Grosso do Sul,0.006393313001242517,0.015813848412967357,0.08358748446854174,0.07229187845927934,0.06551451485372191,0.0,0.051959787642607023,0.006777363605557438,0.051959787642607023,0.006777363605557438,0.08132836326668925,0.2055800293685756,0.12199254490003389,0.02936857562408223
MT,Mato Grosso,0.005978811929652809,0.0157337156043495,0.083913149889864,0.026222859340582497,0.059438481171986995,0.0,0.041956574944932,0.008740953113527499,0.04370476556763749,0.0052445718681165,0.08740953113527498,0.18880458725219398,0.1346106779483235,0.027971049963287996
PA,Pará,0.004883155675295772,0.013910038655265316,0.07613915895513647,0.009517394869392059,0.051247510835188005,0.004392643785873258,0.028552184608176174,0.0029284291905821718,0.03148061379875835,0.0007321072976455429,0.08126391003865527,0.16618835656553824,0.059300691109288976,0.023427433524657374
PB,Paraíba,0.009128833499153445,0.03490949712869386,0.0750554188266918,0.04014592169799794,0.0768008936831265,0.0,0.059346145118779565,0.048873295980171406,0.13963798851477544,0.006981899425738772,0.13963798851477544,0.2635667033216387,0.17978391021277337,0.03665497198512856
PE,Pernambuco,0.009875514425853235,0.04605162167496327,0.08552444025350321,0.04824455604043771,0.08040759340072952,0.0014619562436496275,0.031432059238466994,0.027777168629342923,0.13449997441576575,0.003654890609124069,0.14107877751218906,0.3947281857853994,0.16739398989788234,0.03581792796941587
PI,Piauí,0.006647506207597708,0.019551488845875615,0.07625080649891489,0.01759633996128805,0.0351926799225761,0.003910297769175123,0.03714782880716366,0.005865446653762684,0.07234050872973977,0.0,0.13295012415195417,0.2424384616888576,0.16032220853618004,0.015641191076700492
PR,Paraná,0.007190223328844737,0.026042328311186767,0.062247516451129345,0.07812698493356031,0.08193805736934373,0.002540714957188953,0.040016260575726006,0.011433217307350288,0.05716608653675144,0.0012703574785944765,0.10226377702685535,0.23120506110419473,0.12576539038085316,0.05462537157956249
RJ,Rio de Janeiro,0.006775547126550024,0.030899719215594954,0.058664684307868684,0.047469133867435724,0.0541864641316955,0.002686932105703909,0.027317143074656408,0.012986838510902227,0.07209934483638823,0.0017912880704692726,0.07299498887162287,0.26242370232374845,0.10120777598151391,0.030899719215594954
RN,Rio Grande do Norte,0.008456614356976172,0.03211372540623863,0.0770729409749727,0.029972810379156053,0.06636836583955982,0.0,0.057804705731229526,0.00428183005416515,0.08135477102913785,0.002140915027082575,0.16485045708535828,0.25476888822282645,0.156286796977028,0.04710013059581665
RO,Rondônia,0.008029647930821495,0.039966573411328706,0.14169966936743814,0.029066598844602696,0.11263307052283544,0.0,0.03633324855575337,0.003633324855575337,0.06539984740035606,0.003633324855575337,0.09083312138938343,0.2724993641681503,0.1380663445118628,0.014533299422301348
RR,Roraima,0.005892399658411614,0.0,0.06831767719897523,0.034158838599487616,0.059777967549103334,0.0,0.059777967549103334,0.0,0.04269854824935952,0.0,0.09393680614859094,0.13663535439795046,0.08539709649871904,0.059777967549103334
RS,Rio Grande do Sul,0.009201457544771481,0.031071690864922886,0.06073103214507655,0.15253375515507597,0.0769730523699226,0.003530873961923055,0.045195186712615104,0.01977289418676911,0.10380769448053782,0.002118524377153833,0.10310151968815322,0.2690525958985368,0.15253375515507597,0.05861250776792272
SC,Santa Catarina,0.008292717671119975,0.019332716043101782,0.06308570498275318,0.06919077320689059,0.07936588691378627,0.007122579594826972,0.050875568534478374,0.017297693301722646,0.11192625077585241,0.007122579594826972,0.12617140996550635,0.24522024033618575,0.11090873940516285,0.06817326183620102
SE,Sergipe,0.012064687259347994,0.04848692279170588,0.0827129859387924,0.04278257893385813,0.07700864208094464,0.0,0.04563475086278201,0.019965203502467128,0.15686945609081315,0.005704343857847751,0.1739824876643564,0.49057357177490657,0.21676506659821454,0.07130429822309689
SP,São Paulo,0.013712724136188058,0.03652378366832491,0.10386450980679897,0.2962665844881534,0.08022188198578507,0.003913262535891955,0.11870229692205596,0.043371993106135834,0.1333770314316508,0.030164732047500486,0.13533366269959676,0.3440409979471677,0.20756596700793578,0.0842981971273392
TO,Tocantins,0.00887501027200263,0.036979209466677626,0.08628482208891446,0.09861122524447366,0.09861122524447366,0.004108801051853069,0.04108801051853069,0.008217602103706138,0.12737283260744514,0.0,0.16435204207412277,0.295833675733421,0.09450242419262059,0.024652806311118415
